time,north,east,down,roll,pitch,yaw,speed,p,q,r,at
0.96,-3895.74,1563.71,-9.66964,-28.7589,-7.58389,112.409,27.1357,-21.8784,3.46359,-10.9674,0.765786
0.97,-3895.84,1563.96,-9.63377,-28.9593,-7.60538,112.295,27.1416,-21.2342,3.69545,-10.9295,0.758166
0.98,-3895.94,1564.21,-9.59779,-29.1533,-7.62507,112.18,27.1474,-20.5975,3.92335,-10.8903,0.750622
0.99,-3896.04,1564.46,-9.56173,-29.3407,-7.64297,112.065,27.1532,-19.9687,4.14722,-10.8499,0.743153
1,-3896.14,1564.71,-9.52557,-29.5218,-7.6591,111.949,27.1589,-19.3483,4.36702,-10.8084,0.735759
1.01,-3896.24,1564.96,-9.48934,-29.6966,-7.67349,111.832,27.1645,-18.7365,4.5827,-10.7659,0.728438
1.02,-3896.34,1565.21,-9.45303,-29.8653,-7.68616,111.714,27.1701,-18.1337,4.79422,-10.7225,0.72119
1.03,-3896.44,1565.46,-9.41666,-30.0278,-7.69714,111.596,27.1757,-17.5401,5.00155,-10.6783,0.714014
1.04,-3896.54,1565.71,-9.38024,-30.1843,-7.70644,111.477,27.1811,-16.9562,5.20466,-10.6333,0.706909
1.05,-3896.64,1565.96,-9.34376,-30.335,-7.71409,111.357,27.1865,-16.382,5.40352,-10.5876,0.699875
1.06,-3896.74,1566.21,-9.30725,-30.4799,-7.72012,111.237,27.1919,-15.8179,5.59811,-10.5414,0.692912
1.07,-3896.84,1566.46,-9.27071,-30.619,-7.72455,111.117,27.1972,-15.264,5.78842,-10.4947,0.686017
1.08,-3896.93,1566.72,-9.23414,-30.7527,-7.72741,110.996,27.2024,-14.7206,5.97443,-10.4476,0.679191
1.09,-3897.03,1566.97,-9.19756,-30.8808,-7.72872,110.874,27.2076,-14.1877,6.15615,-10.4001,0.672433
1.1,-3897.13,1567.22,-9.16097,-31.0037,-7.72851,110.752,27.2126,-13.6655,6.33356,-10.3524,0.665742
1.11,-3897.22,1567.47,-9.12437,-31.1212,-7.7268,110.629,27.2176,-13.1542,6.50667,-10.3044,0.659118
1.12,-3897.32,1567.72,-9.08778,-31.2337,-7.72363,110.506,27.2226,-12.6538,6.67549,-10.2564,0.65256
1.13,-3897.41,1567.98,-9.0512,-31.3412,-7.71902,110.382,27.2274,-12.1643,6.84001,-10.2083,0.646067
